year,Date.Band,date,local,species,band,recap,colors,sex,CP.BP,bill.length,tarsus,chord,mass,nest,present.2016,hct1,hct2,hct,treatment,capture.number,date.of.chicks,hatch.date,Blood.OD,phil.215cal,phil.216cal,klh.215cal,klh.216cal,igg,pox.1,poxnotes,nest1egg,nest1nestling,nest1fledge,nest2egg,nest2nestling,nest2fledge,intensity1,intensity2,scaledmass,repeat.,Date.second.nest,,second.clutch.age,Gravid,total.nests,total.eggs,total.nestlings,total.fledglings,nestage
2016,22-Jan-16-DC630,1/22/16,Helm's deep,GAMO,DC630,1,BkSGO,M,CP1,17.11,36.64,15.5,47.5,105,,25.4,62.39,0.407,W,1,1,1/22/16,0.075666667,0.822717842,0.308,1.67813274,2.5315,1.751508991,0.0695,0,3,4,0,NA,NA,NA,0,NA,42.70521794,,,,,,,,,,16
2016,27-Feb-16-DC714,2/27/16,AZ,GAMO,DC714,0,GBlSG,F,BP5,14.32,32.5,98.5,41.8,24,,20.44,49.27,0.415,W,1,10,2/18/16,1.116964286,0.841808589,0.552442632,1.169386375,1.561958174,1.579649982,0.026920455,0,2,2,2,NA,NA,NA,14,NA,47.70754863,,,,,,,,,,25
2016,22-Jan-16-DC629,1/22/16,Helm's deep,GAMO,DC629,1,BkGySY,F,BP4,16.57,33.47,102,45.8,105,,NA,NA,NA,W,1,1,1/22/16,0.216,0.863675657,0.323333333,1.168030767,1.762,2.752123534,0.181166667,0,3,4,0,NA,NA,NA,0,NA,49.30140757,,,,,,,,,,16
2016,24-Jan-16-DC558,1/24/16,Shire ,GAMO,DC558,1,BlBkSBl,M,CP2,16.17,36.31,112,47.9,128,,NA,NA,NA,W,1,1,1/24/16,0.003,0.097052213,0.036333333,1.64266756,2.478,1.648615064,0.0165,0,4,2,0,NA,NA,NA,138,NA,43.84721221,,,,,,,,,,16
2015,23-Mar-15-DC535,23-Mar-15,Gondor,GAMO,DC535,0,GGySY,M,CP1,16.24,38.02,106,45.5,7,1,25.75,61.09,0.421509249,W,,2,3/21/15,0.028913043,0.238833333,NA,1.492166667,NA,NA,0.032419048,,2,2,0,0,0,0,,,39.01859508,1,,,NA,0,1,2,2,0,17
2015,03-Mar-15-DC436,3-Mar-15,Gondor,GAMO,DC436,1,OGGyS,M,,15.59,36.74,108.5,49,20,1,28.91,62.65,0.461452514,W,,-5,3/8/15,0.100904301,0.23550566,NA,0.729217791,NA,2.213584653,0.026504762,,4,3,3,0,0,0,,,44.20468426,1,,,NA,0,1,4,3,3,10
2015,03-Mar-15-DC437,3-Mar-15,Gondor,GAMO,DC437,1,BkGSW,F,BP4,13.85,32.24,100.5,44.5,20,0,26.51,64.57,0.410562181,W,,-5,3/8/15,0.088768817,0.483173585,NA,0.473268916,NA,1.917861492,0.030885714,,4,3,3,0,0,0,,,48.70948297,1,,,NA,0,1,4,3,3,10
2015,03-Mar-15-DC067,3-Mar-15,Gondor,GAMO,DC067,0,GySYO,M,CP2,16.31,36.11,108.5,47,25,1,25.46,57.2,0.445104895,P,,-9,3/12/15,0.048317204,0.193122013,NA,0.816723926,NA,2.902492784,0.046,small sample,4,4,3,0,0,0,,,43.49980728,1,,,NA,0,1,4,4,3,6
2015,03-Mar-15-DC435,3-Mar-15,Gondor,GAMO,DC435,1,SGyGyGy,F,BP4,14.53,32.96,96,43,25,1,24.08,58.56,0.411202186,P,,-9,3/12/15,0.133265591,0.283049057,NA,0.526087935,NA,2.318055702,NA,,4,4,3,0,0,0,,,45.55389883,1,,,NA,0,1,4,4,3,6
2015,11-Mar-15-DC430,11-Mar-15,LR,GAMO,DC430,0,GWSGy,M,,15.32,35.63,100,42,42,1,16.79,39.41,0.426034002,W,,0,3/11/15,0.064048387,0.090664151,NA,NA,NA,1.761989352,NA,empty,3,3,0,0,0,0,,,39.64971145,1,,,NA,0,1,3,3,0,15
2015,05-Mar-15-DC478,5-Mar-15,UR,GAMO,DC478,0,BkSBlBk,M,,15.9,35.15,102,45,74,1,26.07,56.46,0.461742827,P,,-5,3/10/15,0.065846237,0.058968553,NA,0.715027607,NA,1.913188666,NA,,4,4,1,5,3,3,,,43.34322119,0,4/21/15,,-47,0,2,9,7,4,10
2015,15-Mar-15-DC479,15-Mar-15,BW,GAMO,DC479,0,BkSYBl,F,,14.1,33.54,100,42,77,0,23.41,58.23,0.402026447,P,,9,3/6/15,NA,0.096166667,NA,NA,NA,1.833193664,0.010514286,,3,3,1,0,0,0,,,43.36048407,1,,,NA,0,1,3,3,1,24
2015,12-Mar-15-DC417,12-Mar-15,UR,GAMO,DC417,0,SYBlO,M,,15.61,36.42,106,51,85,1,27.49,64.42,0.426730829,W,,4,3/8/15,0.039777419,0.033169811,NA,1.231129857,NA,1.567065734,0.025409524,,4,4,2,0,0,0,,,46.60851012,1,,,NA,0,1,4,4,2,19
